醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日,URL,latitude,longitude
1507290012,生安婦產小兒科醫院,醫院,07 -5223138,高雄市鼓山區美術東二路177號Ｂ2－11Ｆ,高屏業務組,地區醫院,"門診診療,住院診療,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,口腔黏膜檢查,定量免疫法糞便潛血檢查","兒科,婦產科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,64000,2011/04/27,https://www.google.com/maps/place?q=高雄市鼓山區美術東二路177號Ｂ2－11Ｆ,120.28564737530316,22.66245367
1507300022,博愛蕙馨醫院,醫院,07 -8628880,高雄市左營區博愛二路20號1－7樓,高屏業務組,地區醫院,"門診診療,住院診療,兒童預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩","兒科,婦產科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,64000,2015/11/16,https://www.google.com/maps/place?q=高雄市左營區博愛二路20號1－7樓,120.30090287530305,22.65686717
1507300059,維馨乳房外科醫院,專科醫院,07 -9763998,高雄市左營區立信路246號,高屏業務組,地區醫院,"門診診療,住院診療","外科,麻醉科,放射腫瘤科,放射診斷科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上休診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,64000,2019/09/24,https://www.google.com/maps/place?q=高雄市左營區立信路246號,120.30177557530335,22.66758197
1507300068,鈞安婦幼聯合醫院,專科醫院,07 -3480088,高雄市左營區華夏路609號地下1層至地上6層,高屏業務組,地區醫院,"門診診療,住院診療,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,婦女乳房檢查,定量免疫法糞便潛血檢查","兒科,婦產科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,24小時急診及接生,64000,2020/02/21,https://www.google.com/maps/place?q=高雄市左營區華夏路609號地下1層至地上6層,120.29803167530366,22.676466979
1507300077,博田國際醫院,綜合醫院,07 -5562217,高雄市左營區博愛二路100號,高屏業務組,地區醫院,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,成人預防保健,婦女子宮頸抹片檢查,婦女乳房檢查,口腔黏膜檢查,定量免疫法糞便潛血檢查","家醫科,內科,外科,骨科,神經外科,泌尿科,眼科,神經科,復健科,整形外科,中醫一般科,麻醉科,放射線科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,112／9／29（五）中秋節：上午半天門診；開診科別：骨科／中醫,64000,2020/08/21,https://www.google.com/maps/place?q=高雄市左營區博愛二路100號,120.30105567530289,22.658077679
1507310019,金安心醫院,醫院,07 -3649890,高雄市楠梓區加昌路606號1－4樓,高屏業務組,地區醫院,"門診診療,住院診療,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,婦女乳房檢查,定量免疫法糞便潛血檢查","兒科,婦產科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,64000,2016/09/09,https://www.google.com/maps/place?q=高雄市楠梓區加昌路606號1－4樓,120.29634047530477,22.71583457938
1507310037,高大美杏生醫院,專科醫院,07 -3658885,高雄市楠梓區大學東路1號1－3樓,高屏業務組,地區醫院,"門診診療,住院診療,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,口腔黏膜檢查,定量免疫法糞便潛血檢查","兒科,婦產科,麻醉科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,64000,2020/12/28,https://www.google.com/maps/place?q=高雄市楠梓區大學東路1號1－3樓,120.28694837530506,22.72493477938
1507320015,新高醫院,醫院,07 -3828814,高雄市三民區莊敬路288號1-9樓,高屏業務組,地區醫院,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,血液透析,成人預防保健,婦女子宮頸抹片檢查,婦女乳房檢查,口腔黏膜檢查,定量免疫法糞便潛血檢查","內科,眼科,復健科,放射線科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,64000,2011/11/11,https://www.google.com/maps/place?q=高雄市三民區莊敬路288號1-9樓,120.31554097530278,22.649797279
1507330011,七賢脊椎外科醫院,醫院,07 -2385878,高雄市新興區七賢一路420號Ｂ1－8樓,高屏業務組,地區醫院,"復健－物理治療業務,門診診療,住院診療,成人預防保健,口腔黏膜檢查,定量免疫法糞便潛血檢查","內科,骨科,神經外科,復健科,麻醉科,放射診斷科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,64000,2015/01/07,https://www.google.com/maps/place?q=高雄市新興區七賢一路420號Ｂ1－8樓,120.30358767530235,22.63449577
1507330039,忠孝泌尿專科醫院,專科醫院,07 -2361761,高雄市新興區忠孝一路255號Ｂ1－9樓,高屏業務組,地區醫院,"門診診療,住院診療,成人預防保健,定量免疫法糞便潛血檢查",泌尿科,,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上看診、星期三晚上休診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,64000,2021/03/08,https://www.google.com/maps/place?q=高雄市新興區忠孝一路255號Ｂ1－9樓,120.3033824753022,22.631510279
1507340017,中正脊椎骨科醫院,醫院,07 -2855999,高雄市前金區中正四路99號1樓及100號地下1樓，地上13樓,高屏業務組,地區醫院,"復健－物理治療業務,門診診療,住院診療,成人預防保健,口腔黏膜檢查,定量免疫法糞便潛血檢查","內科,外科,骨科,神經外科,復健科,麻醉科,放射診斷科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,64000,2011/03/10,https://www.google.com/maps/place?q=高雄市前金區中正四路99號1樓及100號地下1樓，地上13樓,120.29580607530208,22.629861979
1507340026,上琳醫院,醫院,07 -2828668,高雄市前金區自強一路67號B1-7樓,高屏業務組,地區醫院,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,成人預防保健,定量免疫法糞便潛血檢查","家醫科,內科,復健科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,64000,2012/07/19,https://www.google.com/maps/place?q=高雄市前金區自強一路67號B1-7樓,120.29028917530232,22.63120677
1507340044,活力得中山脊椎外科醫院,醫院,07 -2317108,高雄市前金區青年二路6號1－3樓,高屏業務組,地區醫院,"復健－物理治療業務,門診診療,住院診療,成人預防保健","外科,骨科,麻醉科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,64000,2016/11/01,https://www.google.com/maps/place?q=高雄市前金區青年二路6號1－3樓,120.29913937530192,22.62000587
1507340053,重仁骨科醫院,專科醫院,07 -2813136,高雄市前金區中華三路247號1－6樓,高屏業務組,地區醫院,"復健－物理治療業務,門診診療,住院診療,成人預防保健,口腔黏膜檢查,定量免疫法糞便潛血檢查","家醫科,骨科,神經外科,麻醉科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,64000,2021/07/01,https://www.google.com/maps/place?q=高雄市前金區中華三路247號1－6樓,120.29116737530238,22.6343450794
1507360019,瑞祥醫院,醫院,07 -7717503,高雄市前鎮區班超路92號1－7樓,高屏業務組,地區醫院,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,兒童預防保健,成人預防保健,口腔黏膜檢查,定量免疫法糞便潛血檢查","家醫科,內科,復健科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,64000,2016/06/16,https://www.google.com/maps/place?q=高雄市前鎮區班超路92號1－7樓,120.32238557530128,22.60259887
1507360028,新正薪醫院,醫院,07 -9705335,高雄市前鎮區一心一路233號1－4樓,高屏業務組,地區醫院,"門診診療,住院診療,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,口腔黏膜檢查,定量免疫法糞便潛血檢查","內科,外科,兒科,婦產科,泌尿科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,24小時接生,64000,2016/06/13,https://www.google.com/maps/place?q=高雄市前鎮區一心一路233號1－4樓,120.31517907530149,22.6079099794
1511010068,新昆明醫院,醫院,02 -24268106,基隆市中正區中正路30號,臺北業務組,地區醫院,"復健－物理治療業務,門診診療,住院診療,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,結核病,口腔黏膜檢查,定量免疫法糞便潛血檢查","內科,外科,婦產科,骨科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,10017,1999/09/01,https://www.google.com/maps/place?q=基隆市中正區中正路30號,121.74232057537976,25.133224077
1511060022,南光神經精神科醫院,精神科醫院,02 -24310082,基隆市安樂區基金一路91號,臺北業務組,地區醫院,"門診診療,住院診療,精神病患者居家照護",精神科,,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,10／10雙十節休診,10017,1998/07/08,https://www.google.com/maps/place?q=基隆市安樂區基金一路91號,121.71594567537993,25.138319077
1511060040,暘基醫院,精神科醫院,02 -24322522,基隆市安樂區基金一路129巷8號地下1、地下2及1至5樓,臺北業務組,地區醫院,"門診診療,住院診療,精神病患者居家照護",精神科,,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10017,2015/01/08,https://www.google.com/maps/place?q=基隆市安樂區基金一路129巷8號地下1、地下2及1至5樓,121.70934167538007,25.1397169777
1512011185,南門綜合醫院,綜合醫院,03 -5261122,新竹市東區林森路20號,北區業務組,地區醫院,"安寧居家療護(乙類),復健－物理治療業務,門診診療,住院診療,血液透析,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,居家照護,分娩,兒童牙齒預防保健,口腔黏膜檢查,定量免疫法糞便潛血檢查","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,神經科,復健科,整形外科,急診醫學科,牙科,麻醉科,放射線科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診全日正常服務,10018,2000/04/01,https://www.google.com/maps/place?q=新竹市東區林森路20號,120.96707807536905,24.802138077
1512040051,新中興醫院,醫院,03 -5213163,新竹市興南街43號,北區業務組,地區醫院,"門診診療,住院診療,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,兒童牙齒預防保健,定量免疫法糞便潛血檢查","家醫科,內科,外科,婦產科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上休診、星期三晚上看診、星期四晚上休診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,10018,1995/09/22,https://www.google.com/maps/place?q=新竹市興南街43號,120.96010917536913,24.80174997
1517011103,第一醫院,醫院,04 -22221122,臺中市中區民族路一八四號,中區業務組,地區醫院,"門診診療,住院診療,成人預防保健,口腔黏膜檢查,定量免疫法糞便潛血檢查",內科,,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,66000,2004/09/04,https://www.google.com/maps/place?q=臺中市中區民族路一八四號,120.67404099269912,24.140129863
